SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
PB,João Pessoa,COLEGIO PIO XI,4,1,83,0.0,77,92.77,609.01,578.16,560.29,608.25,697.14,Grupo 6,60.6,81.82,98.6,1.4,0.0,De 61 a 90 alunos
PB,João Pessoa,COLEGIO QUESTAO DE INTELIGENCIA,4,1,27,0.0,24,88.89,559.67,492.75,491.81,489.48,590.0,Grupo 4,54.3,50.0,82.9,16.2,0.9,De 1 a 30 alunos
PB,João Pessoa,ESC CENECISTA JOAO REGIS DE AMORIM,4,1,75,0.0,70,93.33,589.79,504.48,521.69,509.57,638.29,Grupo 4,73.0,82.86,96.6,2.2,1.2,De 61 a 90 alunos
PB,João Pessoa,ESC DE EDUC BASC E PROF FUND BRADESCO,4,1,68,0.0,62,91.18,557.24,480.15,500.03,491.43,551.61,Grupo 3,84.6,100.0,100.0,0.0,0.0,De 61 a 90 alunos
PB,João Pessoa,EEEFM COMP LUIS RAMALHO,2,1,161,0.0,138,85.71,546.14,453.52,492.26,446.59,546.96,Grupo 3,79.0,62.32,73.1,20.9,6.0,Maior que 90 alunos
PB,João Pessoa,EEEFM CON FRANCISCO GOMES DE LIMA,2,1,67,1.0,49,73.13,539.63,473.88,506.11,444.92,537.14,Grupo 3,60.2,55.1,70.8,16.5,12.7,De 61 a 90 alunos
PB,João Pessoa,EEEM CON LUIZ GONZAGA DE OLIVEIRA,2,1,39,0.0,30,76.92,554.67,450.89,507.05,444.03,556.67,Grupo 2,83.0,56.67,56.9,14.6,28.5,De 31 a 60 alunos
PB,João Pessoa,EEEFM FRANCISCA A CUNHA,2,1,12,0.0,10,83.33,532.51,420.99,450.34,472.55,480.0,Grupo 2,40.3,50.0,44.2,9.5,46.3,De 1 a 30 alunos
PB,João Pessoa,EEEM PROF PEDRO AUGUSTO PORTO CAMINHA,2,1,44,0.0,23,52.27,524.58,453.79,480.84,397.12,505.22,Grupo 2,63.8,30.43,57.5,10.3,32.2,De 31 a 60 alunos
PB,João Pessoa,EEEFMP DAURA SANTIAGO RANGEL,2,1,81,0.0,62,76.54,538.19,448.37,488.2,415.16,547.1,Grupo 3,67.4,82.26,59.9,22.6,17.5,De 61 a 90 alunos
PB,João Pessoa,EEEFM PROF OLIVINA OLIVIA CARNEIRO DA CUNHA,2,1,453,4.0,377,83.22,528.95,443.77,488.43,435.57,515.65,Grupo 3,73.8,73.47,82.4,10.9,6.7,Maior que 90 alunos
PB,João Pessoa,EEEFM CONEGO NICODEMOS NEVES,2,1,77,4.0,41,53.25,529.9,440.82,482.42,434.23,485.85,Grupo 3,68.7,65.85,72.6,9.0,18.4,De 61 a 90 alunos
PB,João Pessoa,EEEFM PROF LUIZ GONZAGA DE ALBUQUERQUE BURITY,2,1,125,0.0,80,64.0,526.94,440.41,470.96,414.8,497.5,Grupo 3,79.6,81.25,66.9,23.5,9.6,Maior que 90 alunos
PB,João Pessoa,CPM - ESTUDANTE REBECA CRISTINA ALVES SIMOES,2,1,63,0.0,58,92.06,558.3,470.54,502.89,450.27,572.07,Grupo 4,70.5,96.55,93.0,7.0,0.0,De 61 a 90 alunos
PB,João Pessoa,EEEFM ESCRITOR HORACIO DE ALMEIDA,2,1,108,0.0,58,53.7,536.42,448.59,492.01,441.76,541.38,Grupo 3,82.7,48.28,74.8,9.0,16.2,Maior que 90 alunos
PB,João Pessoa,EEEFM ESCRITOR JOSE LINS DO REGO,2,1,203,1.0,158,77.83,531.64,447.69,481.78,432.28,525.95,Grupo 3,66.1,77.85,73.2,8.1,18.7,Maior que 90 alunos
PB,João Pessoa,EEEFM PAPA PAULO VI,2,1,246,0.0,146,59.35,537.97,445.06,486.52,429.0,505.07,Grupo 3,72.5,76.71,61.5,12.1,26.4,Maior que 90 alunos
PB,João Pessoa,EEEFM PRESIDENTE JOAO GOULART,2,1,91,0.0,78,85.71,550.13,456.93,496.5,441.76,538.72,Grupo 3,92.0,88.46,82.2,9.4,8.4,Maior que 90 alunos
PB,João Pessoa,EEEFM JOSE DO PATROCINIO,2,1,136,0.0,73,53.68,524.44,444.52,473.68,424.55,506.3,Grupo 3,63.1,67.12,98.9,0.9,0.2,Maior que 90 alunos
PB,João Pessoa,EEEFM PROF ORLANDO CAVALCANTI GOMES,2,1,112,0.0,77,68.75,525.11,446.13,478.44,423.59,501.56,Grupo 2,68.4,38.96,65.9,15.0,19.1,Maior que 90 alunos
PB,João Pessoa,EEEF PEDRO LINS VIEIRA DE MELO,2,1,29,0.0,21,72.41,547.18,448.59,493.49,434.51,534.29,Grupo 3,52.2,0.0,76.6,9.2,14.2,De 1 a 30 alunos
PB,João Pessoa,EEEFM PADRE HILDON BANDEIRA,2,1,73,0.0,51,69.86,539.95,458.18,487.82,430.98,489.02,Grupo 3,79.3,70.59,58.0,23.3,18.7,De 61 a 90 alunos
PB,João Pessoa,EEEFM PROF CELESTIN MALZAC,2,1,117,2.0,87,74.36,538.49,448.19,488.82,421.31,522.3,Grupo 3,65.5,71.26,81.6,10.2,8.2,Maior que 90 alunos
PB,João Pessoa,EEEFM PROF OLIVIO PINTO,2,1,35,0.0,20,57.14,559.03,475.6,500.46,475.24,603.0,Grupo 3,71.9,85.0,87.0,4.9,8.1,De 31 a 60 alunos
PB,João Pessoa,EEEM PROFª URSULA LIANZA,2,1,42,0.0,25,59.52,535.14,461.66,506.42,425.18,509.6,Grupo 2,69.4,8.0,75.2,10.5,14.3,De 31 a 60 alunos
PB,João Pessoa,EEEFM PREF OSWALDO PESSOA,2,1,157,0.0,119,75.8,530.57,443.83,486.05,439.07,495.46,Grupo 2,68.0,65.55,75.2,12.0,12.8,Maior que 90 alunos
PB,João Pessoa,EEEFM PADRE ROMA,2,1,13,0.0,11,84.62,531.05,465.85,482.39,469.13,532.73,Grupo 3,32.4,72.73,79.2,4.2,16.6,De 1 a 30 alunos
