SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_MT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
MS,Inocência,EE PROF JOAO PEREIRA VALIM,2,1,79,3.0,48,60.76,446.41,Grupo 3,36.8,93.75,91.3,8.3,0.4,De 61 a 90 alunos
MS,Paranaíba,ESCOLA CAMINHO LTDA EPP,4,1,13,0.0,13,100.0,480.21,Grupo 5,64.3,61.54,77.3,22.7,0.0,De 1 a 30 alunos
MS,Paranaíba,EE GUSTAVO RODRIGUES DA SILVA,2,1,19,1.0,13,68.42,434.92,Grupo 3,62.5,46.15,78.4,20.3,1.3,De 1 a 30 alunos
MS,Paranaíba,EE ARACILDA CICERO CORREA DA COSTA,2,1,105,2.0,75,71.43,436.73,Grupo 3,65.6,76.0,76.7,8.4,14.9,Maior que 90 alunos
MS,Paranaíba,EE JOSE GARCIA LEAL,2,1,108,0.0,55,50.93,456.48,Grupo 4,70.3,65.45,55.1,12.0,32.9,Maior que 90 alunos
MS,Paranaíba,EE WLADISLAU GARCIA GOMES,2,1,43,0.0,26,60.47,458.04,Grupo 3,70.2,88.46,86.4,4.5,9.1,De 31 a 60 alunos
MS,Paranaíba,ESCOLA PARTICULAR EDUCANDARIO SANTA CLARA,4,1,29,0.0,28,96.55,581.86,Grupo 5,56.0,92.86,99.1,0.9,0.0,De 1 a 30 alunos
MS,Selvíria,EE ANA MARIA DE SOUZA,2,1,47,0.0,27,57.45,422.39,Grupo 3,60.4,77.78,59.7,19.9,20.4,De 31 a 60 alunos
MS,Brasilândia,EE ADILSON ALVES DA SILVA,2,1,94,0.0,65,69.15,432.42,Grupo 3,49.7,87.69,79.4,9.0,11.6,Maior que 90 alunos
MS,Ribas do Rio Pardo,EE EDUARDO BATISTA AMORIM,2,1,33,0.0,23,69.7,427.03,Grupo 3,66.7,60.87,88.6,3.8,7.6,De 31 a 60 alunos
MS,Três Lagoas,EE AFONSO PENA,2,1,44,0.0,29,65.91,455.07,Grupo 3,70.4,82.76,75.5,12.2,12.3,De 31 a 60 alunos
MS,Três Lagoas,EE BOM JESUS,2,1,40,0.0,30,75.0,446.97,Grupo 4,70.3,93.33,89.5,3.7,6.8,De 31 a 60 alunos
MS,Três Lagoas,EE DOM AQUINO CORREA,2,1,236,1.0,128,54.24,439.37,Grupo 3,49.9,64.84,78.5,13.5,8.0,Maior que 90 alunos
MS,Três Lagoas,EE EDWARDS CORREA E SOUZA,2,1,31,0.0,21,67.74,438.5,Grupo 4,71.4,71.43,68.2,24.2,7.6,De 31 a 60 alunos
MS,Três Lagoas,EE FERNANDO CORREA,2,1,128,1.0,104,81.25,485.94,Grupo 5,55.4,66.35,83.6,15.6,0.8,Maior que 90 alunos
MS,Três Lagoas,EE JOAO DANTAS FILGUEIRAS,2,1,32,0.0,24,75.0,452.87,Grupo 3,61.5,62.5,85.0,5.6,9.4,De 31 a 60 alunos
MS,Três Lagoas,EE PADRE JOAO TOMES,2,1,76,0.0,40,52.63,420.41,Grupo 3,60.5,75.0,62.2,35.8,2.0,De 61 a 90 alunos
MS,Três Lagoas,EE PROF JOAO MAGIANO PINTO,2,1,124,1.0,96,77.42,443.37,Grupo 4,70.3,62.5,74.6,21.9,3.5,Maior que 90 alunos
MS,Três Lagoas,EE JOAO PONCE DE ARRUDA,2,1,35,0.0,25,71.43,461.7,Grupo 4,75.0,64.0,74.7,22.0,3.3,De 31 a 60 alunos
MS,Três Lagoas,ESCOLA DO SESI TRES LAGOAS,4,1,27,0.0,26,96.3,527.39,Grupo 5,61.4,84.62,96.3,3.7,0.0,De 1 a 30 alunos
MS,Três Lagoas,COLEGIO UNITRES OBJETIVO,4,1,23,0.0,21,91.3,572.72,Grupo 5,85.7,76.19,98.4,1.6,0.0,De 1 a 30 alunos
MS,Três Lagoas,SISTEMA EXITUS DE ENSINO,4,1,38,0.0,34,89.47,494.45,Grupo 5,56.8,35.29,93.2,5.5,1.3,De 31 a 60 alunos
MS,Bataguassu,CENTRO EDUCACIONAL JUVENTUDE DO AMANHA,4,1,13,0.0,12,92.31,541.33,Grupo 5,40.9,58.33,100.0,0.0,0.0,De 1 a 30 alunos
MS,Bataguassu,EE PERI MARTINS,2,1,93,2.0,68,73.12,451.62,Grupo 3,42.3,88.24,84.6,8.4,7.0,Maior que 90 alunos
MS,Batayporã,EE BRAZ SINIGAGLIA,2,1,26,0.0,20,76.92,473.23,Grupo 3,72.2,75.0,96.3,1.2,2.5,De 1 a 30 alunos
MS,Batayporã,EE JAN ANTONIN BATA,2,1,97,2.0,49,50.52,458.84,Grupo 3,74.0,67.35,75.5,7.4,17.1,Maior que 90 alunos
MS,Nova Andradina,EE PROFª FATIMA GAIOTTO SAMPAIO,2,1,77,0.0,52,67.53,452.83,Grupo 3,66.7,65.38,76.8,12.2,11.0,De 61 a 90 alunos
MS,Nova Andradina,EE MAL RONDON,2,1,45,1.0,25,55.56,447.42,Grupo 3,52.9,72.0,73.4,8.5,18.1,De 31 a 60 alunos
MS,Nova Andradina,EE AUSTRILIO CAPILE CASTRO,2,1,24,0.0,19,79.17,463.81,Grupo 4,48.8,42.11,98.6,1.4,0.0,De 1 a 30 alunos
MS,Nova Andradina,EE LUIZ SOARES ANDRADE,2,1,78,0.0,46,58.97,452.26,Grupo 3,62.3,76.09,75.0,19.7,5.3,De 61 a 90 alunos
MS,Nova Andradina,EE PROFª NAIR PALACIO DE SOUZA,2,1,130,3.0,112,86.15,486.39,Grupo 4,68.3,87.5,87.0,13.0,0.0,Maior que 90 alunos
MS,Nova Andradina,COLEGIO OBJETIVO ANAEC - NOVA ANDRADINA,4,1,13,1.0,13,100.0,572.89,Grupo 5,70.0,30.77,96.4,3.6,0.0,De 1 a 30 alunos
MS,Taquarussu,EE DR MARTINHO MARQUES,2,1,37,1.0,28,75.68,434.7,Grupo 3,51.3,92.86,91.7,5.8,2.5,De 31 a 60 alunos
MS,Bela Vista,COLEGIO CEFRON UNID II,4,1,13,0.0,13,100.0,480.04,Grupo 5,38.5,76.92,97.9,2.1,0.0,De 1 a 30 alunos
MS,Bela Vista,EE CASTELO BRANCO,2,1,119,1.0,64,53.78,450.01,Grupo 3,63.1,67.19,81.2,18.1,0.7,Maior que 90 alunos
MS,Bela Vista,EE ESTER SILVA,2,1,40,0.0,26,65.0,449.69,Grupo 3,60.0,88.46,94.8,2.2,3.0,De 31 a 60 alunos
MS,Bodoquena,EE JOAO PEDRO PEDROSSIAN,2,1,98,1.0,59,60.2,451.23,Grupo 3,46.6,86.44,81.5,13.3,5.2,Maior que 90 alunos
